NBA PLAYERS,NBA TEAMS (FULL),NBA TEAM NAMES,NBA TEAM CITIES
Precious Achiuwa,Atlanta Hawks,76ers,Atlanta
Steven Adams,Boston Celtics,Bucks,Boston
Bam Adebayo,Brooklyn Nets,Bulls,Brooklyn
Ochai Agbaji,Charlotte Hornets,Cavaliers,Charlotte
Santi Aldama,Chicago Bulls,Celtics,Chicago
Nickeil Alexander-Walker,Cleveland Cavaliers,Clippers,Cleveland
Grayson Allen,Dallas Mavericks,Grizzlies,Dallas
Jarrett Allen,Denver Nuggets,Hawks,Denver
Jose Alvarado,Detroit Pistons,Heat,Detroit
Kyle Anderson,Golden State Warriors,Hornets,Golden State
Giannis Antetokounmpo,Houston Rockets,Jazz,Houston
Thanasis Antetokounmpo,Indiana Pacers,Kings,Indiana
Cole Anthony,Los Angeles Clippers,Knicks,Los Angeles
OG Anunoby,Los Angeles Lakers,Lakers,Los Angeles
Deni Avdija,Memphis Grizzlies,Magic,Memphis
Deandre Ayton,Miami Heat,Mavericks,Miami
Marvin Bagley III,Milwaukee Bucks,Nets,Milwaukee
LaMelo Ball,Minnesota Timberwolves,Nuggets,Minnesota
Mo Bamba,New Orleans Pelicans,Pacers,New Orleans
Paolo Banchero,New York Knicks,Pelicans,New York
Desmond Bane,Oklahoma City Thunder,Pistons,Oklahoma City
Dalano Banton,Orlando Magic,Raptors,Orlando
Harrison Barnes,Philadelphia 76ers,Rockets,Philadelphia
Scottie Barnes,Phoenix Suns,Spurs,Phoenix
RJ Barrett,Portland Trail Blazers,Suns,Portland
Will Barton,Sacramento Kings,Thunder,Sacramento
Charles Bassey,San Antonio Spurs,Timberwolves,San Antonio
Keita Bates-Diop,Toronto Raptors,Trail Blazers,Toronto
Nicolas Batum,Utah Jazz,Warriors,Utah
Darius Bazley,Washington Wizards,Wizards,Washington
Bradley Beal,,,
Malik Beasley,,,
MarJon Beauchamp,,,
Dāvis Bertāns,,,
Patrick Beverley,,,
Saddiq Bey,,,
Khem Birch,,,
Goga Bitadze,,,
Bismack Biyombo,,,
Bogdan Bogdanović,,,
Bojan Bogdanović,,,
Bol Bol,,,
Devin Booker,,,
Brandon Boston Jr.,,,
Chris Boucher,,,
James Bouknight,,,
Tony Bradley,,,
Malaki Branham,,,
Christian Braun,,,
Mikal Bridges,,,
Oshae Brissett,,,
Malcolm Brogdon,,,
Dillon Brooks,,,
Bruce Brown,,,
Greg Brown III,,,
Jaylen Brown,,,
Moses Brown,,,
Sterling Brown,,,
Troy Brown Jr.,,,
Jalen Brunson,,,
Thomas Bryant,,,
Reggie Bullock,,,
Alec Burks,,,
Jimmy Butler,,,
Kentavious Caldwell-Pope,,,
Facundo Campazzo,,,
Vlatko Čančar,,,
Clint Capela,,,
Vernon Carey Jr.,,,
Jevon Carter,,,
Wendell Carter Jr.,,,
Alex Caruso,,,
Kennedy Chandler,,,
Max Christie,,,
Josh Christopher,,,
Brandon Clarke,,,
Jordan Clarkson,,,
Nic Claxton,,,
Amir Coffey,,,
John Collins,,,
Zach Collins,,,
Mike Conley,,,
Pat Connaughton,,,
Robert Covington,,,
Torrey Craig,,,
Jarrett Culver,,,
Cade Cunningham,,,
Seth Curry,,,
Stephen Curry,,,
Dyson Daniels,,,
Anthony Davis,,,
Johnny Davis,,,
Terence Davis,,,
JD Davison,,,
Dewayne Dedmon,,,
Matthew Dellavedova,,,
DeMar DeRozan,,,
Hamidou Diallo,,,
Gorgui Dieng,,,
Ousmane Dieng,,,
Spencer Dinwiddie,,,
Donte DiVincenzo,,,
Luka Dončić,,,
Luguentz Dort,,,
Ayo Dosunmu,,,
Devon Dotson,,,
Jeff Dowtin,,,
PJ Dozier,,,
Goran Dragić,,,
Andre Drummond,,,
Chris Duarte,,,
David Duke Jr.,,,
Kevin Durant,,,
Jalen Duren,,,
Tari Eason,,,
Anthony Edwards,,,
Kessler Edwards,,,
Joel Embiid,,,
Drew Eubanks,,,
Bruno Fernando,,,
Dorian Finney-Smith,,,
Malachi Flynn,,,
Evan Fournier,,,
De'Aaron Fox,,,
Markelle Fultz,,,
Wenyen Gabriel,,,
Daniel Gafford,,,
Darius Garland,,,
Usman Garuba,,,
Luka Garza,,,
Rudy Gay,,,
Paul George,,,
Taj Gibson,,,
Josh Giddey,,,
Shai Gilgeous-Alexander,,,
Anthony Gill,,,
Rudy Gobert,,,
Jordan Goodwin,,,
Aaron Gordon,,,
Eric Gordon,,,
Devonte' Graham,,,
Jerami Grant,,,
A.J. Green,,,
Danny Green,,,
Draymond Green,,,
Jalen Green,,,
JaMychal Green,,,
Javonte Green,,,
Jeff Green,,,
Josh Green,,,
AJ Griffin,,,
Blake Griffin,,,
Quentin Grimes,,,
Rui Hachimura,,,
Tyrese Haliburton,,,
R.J. Hampton,,,
Tim Hardaway Jr.,,,
James Harden,,,
Jaden Hardy,,,
Montrezl Harrell,,,
Gary Harris,,,
Joe Harris,,,
Tobias Harris,,,
Josh Hart,,,
Isaiah Hartenstein,,,
Udonis Haslem,,,
Sam Hauser,,,
Jaxson Hayes,,,
Killian Hayes,,,
Gordon Hayward,,,
Juancho Hernangómez,,,
Willy Hernangómez,,,
Tyler Herro,,,
Buddy Hield,,,
Haywood Highsmith,,,
George Hill,,,
Aaron Holiday,,,
Jrue Holiday,,,
Justin Holiday,,,
Richaun Holmes,,,
Al Horford,,,
Talen Horton-Tucker,,,
Danuel House Jr.,,,
Caleb Houstan,,,
Kevin Huerter,,,
De'Andre Hunter,,,
Bones Hyland,,,
Serge Ibaka,,,
Andre Iguodala,,,
Joe Ingles,,,
Brandon Ingram,,,
Kyrie Irving,,,
Jonathan Isaac,,,
Jaden Ivey,,,
Isaiah Jackson,,,
Jaren Jackson Jr.,,,
Reggie Jackson,,,
LeBron James,,,
Ty Jerome,,,
Isaiah Joe,,,
Alize Johnson,,,
Cameron Johnson,,,
Jalen Johnson,,,
James Johnson,,,
Keldon Johnson,,,
Keon Johnson,,,
Stanley Johnson,,,
Nikola Jokić,,,
Damian Jones,,,
Derrick Jones Jr.,,,
Herbert Jones,,,
Kai Jones,,,
Tre Jones,,,
Tyus Jones,,,
DeAndre Jordan,,,
Cory Joseph,,,
Nikola Jović,,,
Mfiondu Kabengele,,,
Frank Kaminsky,,,
Luke Kennard,,,
Walker Kessler,,,
Corey Kispert,,,
Maxi Kleber,,,
Kevin Knox,,,
Christian Koloko,,,
John Konchar,,,
Furkan Korkmaz,,,
Luke Kornet,,,
Jonathan Kuminga,,,
Kyle Kuzma,,,
Anthony Lamb,,,
Jock Landale,,,
Romeo Langford,,,
Jake LaRavia,,,
Zach LaVine,,,
Damion Lee,,,
Saben Lee,,,
Alex Len,,,
Kawhi Leonard,,,
Caris LeVert,,,
Kira Lewis Jr.,,,
Damian Lillard,,,
Nassir Little,,,
Isaiah Livers,,,
Kenneth Lofton Jr.,,,
Kevon Looney,,,
Brook Lopez,,,
Robin Lopez,,,
Kevin Love,,,
Kyle Lowry,,,
Trey Lyles,,,
Théo Maledon,,,
Sandro Mamukelashvili,,,
Terance Mann,,,
Tre Mann,,,
Boban Marjanović,,,
Lauri Markkanen,,,
Naji Marshall,,,
Caleb Martin,,,
Cody Martin,,,
Kenyon Martin Jr.,,,
Garrison Mathews,,,
Bennedict Mathurin,,,
Wesley Matthews,,,
Tyrese Maxey,,,
Miles McBride,,,
CJ McCollum,,,
T.J. McConnell,,,
Jaden McDaniels,,,
Jalen McDaniels,,,
Doug McDermott,,,
JaVale McGee,,,
Bryce McGowens,,,
Rodney McGruder,,,
Jordan McLaughlin,,,
De'Anthony Melton,,,
Chimezie Metu,,,
Khris Middleton,,,
Patty Mills,,,
Shake Milton,,,
Josh Minott,,,
Davion Mitchell,,,
Donovan Mitchell,,,
Evan Mobley,,,
Malik Monk,,,
Moses Moody,,,
Ja Morant,,,
Marcus Morris,,,
Markieff Morris,,,
Monte Morris,,,
Trey Murphy III,,,
Dejounte Murray,,,
Jamal Murray,,,
Keegan Murray,,,
Mike Muscala,,,
Svi Mykhailiuk,,,
Larry Nance Jr.,,,
Andrew Nembhard,,,
Aaron Nesmith,,,
Raul Neto,,,
Georges Niang,,,
Zeke Nnaji,,,
Nerlens Noel,,,
Jaylen Nowell,,,
Frank Ntilikina,,,
Kendrick Nunn,,,
Jusuf Nurkić,,,
Jordan Nwora,,,
Royce O'Neale,,,
Chuma Okeke,,,
Josh Okogie,,,
Onyeka Okongwu,,,
Isaac Okoro,,,
KZ Okpala,,,
Victor Oladipo,,,
Kelly Olynyk,,,
Cedi Osman,,,
Kelly Oubre Jr.,,,
Chris Paul,,,
Cameron Payne,,,
Gary Payton II,,,
Theo Pinson,,,
Scotty Pippen Jr.,,,
Mason Plumlee,,,
Jakob Poeltl,,,
Aleksej Pokusevski,,,
Jordan Poole,,,
Kevin Porter Jr.,,,
Michael Porter Jr.,,,
Otto Porter Jr.,,,
Bobby Portis,,,
Kristaps Porziņģis,,,
Dwight Powell,,,
Norman Powell,,,
Jason Preston,,,
Joshua Primo,,,
Taurean Prince,,,
Payton Pritchard,,,
Immanuel Quickley,,,
Julius Randle,,,
Austin Reaves,,,
Cam Reddish,,,
Davon Reed,,,
Paul Reed,,,
Naz Reid,,,
Nick Richards,,,
Josh Richardson,,,
Austin Rivers,,,
